"АВТОВСКАЯ УЛ., д.21","309,05\204,65","249,05\217,65",-19\6
"СТАЧЕК ПР., д.33/2","63,7\93,5","69,7\34,5",9\-63
"СТАЧЕК ПР., д.34, корп.2","113,3\59,75","123,3\65,75",9\10
"СТАЧЕК ПР., д.35","94,05\77,45","94,05\63,45",0\-18
"СТАЧЕК ПР., д.41","701,3\511,55","650,3\390,55",-7\-24
"СТАЧЕК ПР., д.42",38\42,38\42,0\0
"СТАЧЕК ПР., д.95, корп.1","2550,25\2289,15","3781,25\1465,15",48\-36
"СТАЧЕК ПР., д.101, корп.1А","1532,36\977,95","1749,99\1066,95",14\9
"СТАЧЕК ПР., д.101, корп.1Б","417,61\601,35","742,007\814,35",78\35
"СТАЧЕК ПР., д.101, корп.1В","2219,1\1329,25","2408,1\1466,25",9\10
"СТАЧЕК ПР., д.101, корп.1Г","1117,9\1027,4","1187,9\1119,4",6\9
"СТАЧЕК ПР., д.101, корп.1Д","1487,55\885,3","1411,55\866,3",-5\-2
"СТАЧЕК ПР., д.102","66,95\59,2","46,95\13,2",-30\-78
"СТАЧЕК ПР., д.103, корп.1","1511,77\1712,15","2077,82\2674,15",37\56
"СТАЧЕК ПР., д.105, корп.2А","913,2\543","995,2\595",9\10
"СТАЧЕК ПР., д.105, корп.2Б","1744,25\1374,35","2095,23\1525,35",20\11
"СТАЧЕК ПР., д.105, корп.2В","2910\1322,15","3133\1608,15",8\22
"СТАЧЕК ПР., д.105, корп.2Г","1006,7\921,45","1199,7\1124,45",19\22
"СТАЧЕК ПР., д.105, корп.2Д","3008,44\2268,7","3160\2226,7",5\-2
"СТАЧЕК ПР., д.105, корп.2Е","1846,01\1282,15","1851,46\1223,15",0\-5
"СТАЧЕК ПР., д.105, корп.2Ж","3019,24\1563,85","3090,14\1587,85",2\2
"СТАЧЕК ПР., д.105, корп.2З","1451,17\1300,9","1546,48\1102,9",7\-15
"СТАЧЕК ПР., д.107, корп.1","1300,57\739,85","1420,37\833,85",9\13
"ТРАКТОРНАЯ УЛ., д.3","239,32\0","239,32\0",0\-
"ТРАКТОРНАЯ УЛ., д.4","81,75\48,15","94,75\51,15",16\6
"ТРАКТОРНАЯ УЛ., д.4А","217,45\200,6","175,45\183,6",-19\-8
"ТРАКТОРНАЯ УЛ., д.5","97,9\61,9","161,9\113,9",65\84
"ТРАКТОРНАЯ УЛ., д.6","39,3\45,05","57,3\50,05",46\11
"ТРАКТОРНАЯ УЛ., д.6, корп.2","63,85\42","52,85\39",-17\-7
"ТРАКТОРНАЯ УЛ., д.7","137,45\95,4","133,45\84,4",-3\-12
"ТРАКТОРНАЯ УЛ., д.8","126,45\135,1","156,45\126,1",24\-7
"ТРАКТОРНАЯ УЛ., д.9","213,55\194,6","282,55\166,6",32\-14
"ТРАКТОРНАЯ УЛ., д.10","59,1\71","71,1\68",20\-4
"ТРАКТОРНАЯ УЛ., д.12","42,7\82,15","183,7\282,15",330\243
"ТРАКТОРНАЯ УЛ., д.13","149,4\111,55","183,4\119,55",23\7
"ТРАКТОРНАЯ УЛ., д.15","182,7\93,45","178,7\88,45",-2\-5
"ТРАМВАЙНЫЙ ПР., д.5","120,7\132","221,7\228",84\73
"ТРАМВАЙНЫЙ ПР., д.7, корп.1","131,65\134,65","211,65\209,65",61\56
"ТРАМВАЙНЫЙ ПР., д.7, корп.2","449,9\235,75","668,9\331,75",49\41
"ТРАМВАЙНЫЙ ПР., д.9, корп.1","169,5\194,4","210,5\225,4",24\16
"ТРАМВАЙНЫЙ ПР., д.9, корп.2","186,15\109,25","253,15\124,25",36\14
"ТРАМВАЙНЫЙ ПР., д.11, корп.1","28,3\26,3","10,3\10,3",-64\-61
"ТРАМВАЙНЫЙ ПР., д.11, корп.2","93,45\83,5","90,45\69,5",-3\-17
"ТРАМВАЙНЫЙ ПР., д.11, корп.3","194,8\69,65","236,8\54,65",22\-22
"ТРАМВАЙНЫЙ ПР., д.11, корп.6","745,65\353,15","1046,65\435,15",40\23
"ТРАМВАЙНЫЙ ПР., д.13, корп.1",33\27,84\35,155\30
"ТРАМВАЙНЫЙ ПР., д.13, корп.2","62,5\67,95","48,5\52,95",-22\-22
"ТРАМВАЙНЫЙ ПР., д.13, корп.3","57,35\42,25","38,35\14,25",-33\-66
"ТРАМВАЙНЫЙ ПР., д.15, корп.1","142,15\158,05","215,15\213,05",51\35
"ТРАМВАЙНЫЙ ПР., д.15, корп.2","52,05\44,45","132,05\76,45",154\72
"ТРАМВАЙНЫЙ ПР., д.15, корп.3","98,2\117,5","176,2\178,5",79\52
"ТРАМВАЙНЫЙ ПР., д.17","55,9\62,7","76,9\83,7",38\33
"ТРЕФОЛЕВА УЛ., д.3","1258,55\564,45","967,55\435,45",-23\-23
"ТРЕФОЛЕВА УЛ., д.5","221,6\222,95","237,6\195,95",7\-12
"ТРЕФОЛЕВА УЛ., д.11","88,3\36,35","31,3\35,35",-65\-3
"ТРЕФОЛЕВА УЛ., д.15",644\391,644\391,0\0
"ТРЕФОЛЕВА УЛ., д.16",,337\247,-\-
"ТРЕФОЛЕВА УЛ., д.22/25","2394,4\1041,3","1821,65\1330,3",-24\28
"ТРЕФОЛЕВА УЛ., д.26","114,15\68,55","148,15\77,55",30\13
"ТУРБИННАЯ УЛ., д.11","46,45\546,1","46,45\426,1",0\-22
"ТУРГЕНЕВСКИЙ ПЕР., д.3","144,63\0",155\104,7\-
"ТУРГЕНЕВСКИЙ ПЕР., д.5","83,4\50,95","87,75\59,95",5\18
"УРЮПИН ПЕР., д.2/6","30,2\11,1","34,5\16,1",14\45
"УРЮПИН ПЕР., д.5","319,45\231,35","329,45\246,35",3\6
"ШВЕЦОВА УЛ., д.4",",001\0",",001\0",0\-
"ШВЕЦОВА УЛ., д.6","181,35\94,25","146,35\76,25",-19\-19
"ШВЕЦОВА УЛ., д.10","786,85\698,75","951,85\765,75",21\10
"ШВЕЦОВА УЛ., д.11","508,35\334,85","808,35\582,85",59\74
"ШВЕЦОВА УЛ., д.17",,595\283,-\-
"ШВЕЦОВА УЛ., д.19",,"607,9\138",-\-
"ШОТЛАНДСКАЯ УЛ., д.3","1146,6\434,65","1529,6\606,65",33\40
